Loss_Train,Accuracy_Train,Loss_Validation,Accuracy_Validation,Num_Epochs,Epoch_Save,Learning_Rate,Batch_Size,Img_Size,Model
0.0611,0.9764,0.1296,0.9625,20,14,0.001,32,64,Model1_3C_1_NO
0.0238,0.9918,0.1611,0.962,20,17,0.001,32,64,Model1_4C_1_NO
0.2436,0.9083,0.5139,0.8516,20,2,0.001,32,64,Model1_B3C_1_NO
0.1668,0.9363,0.1012,0.963,20,18,0.001,32,64,Model1_3C_1_DA
0.1246,0.9526,0.0954,0.9651,20,17,0.001,32,64,Model1_4C_1_DA
0.2942,0.8857,0.642,0.6471,20,4,0.001,32,64,Model1_B3C_1_DA
0.0469,0.9818,0.1101,0.964,20,19,0.0001,32,64,Model1_3C_2_NO
0.0443,0.9828,0.1165,0.9625,20,12,0.0001,32,64,Model1_4C_2_NO
0.1404,0.9475,0.6966,0.6697,20,3,0.0001,32,64,Model1_B3C_2_NO
0.1844,0.9272,0.1101,0.9562,20,17,0.0001,32,64,Model1_3C_2_DA
0.1317,0.9493,0.086,0.9675,20,20,0.0001,32,64,Model1_4C_2_DA
0.2531,0.898,0.5639,0.7351,20,2,0.0001,32,64,Model1_B3C_2_DA
0.0454,0.9823,0.1177,0.9641,20,20,0.0002,32,64,Model1_3C_3_NO
0.0309,0.9881,0.1326,0.9668,30,28,0.0002,32,64,Model2_3C_3_NO
0.0451,0.9826,0.1022,0.9661,20,13,0.0002,32,64,Model1_4C_3_NO
0.1816,0.9306,0.562,0.7247,20,2,0.0002,32,64,Model1_B3C_3_NO
0.1802,0.9301,0.1102,0.9573,20,17,0.0002,32,64,Model1_3C_3_DA
0.1466,0.9425,0.1014,0.9626,20,16,0.0002,32,64,Model1_4C_3_DA
0.1063,0.9591,0.0851,0.9685,30,26,0.0002,32,64,Model2_4C_3_DA
0.1782,0.9316,0.5304,0.7305,20,8,0.0002,32,64,Model1_B3C_3_DA
